Entity,Year,Poverty_Index,gdp_growth,gdp_per_capita
Belarus,2015,0.034007520268388686,-3.829570558,5967.052204
Belarus,2016,0.028768635716561,-2.526446436,5039.681886
Belarus,2017,0.033060229387974566,2.5321835,5785.670673
Belarus,2018,0.03632311579772685,3.149197594,6360.062473
Belarus,2019,0.03900782127557532,1.4,6837.717826
Belarus,2020,0.03663501288036786,-0.9,6424.152176
Belgium,2010,0.25042848214594465,2.864292708,44141.87814
Belgium,2011,0.268585681687119,1.694513899,47348.52502
Belgium,2012,0.25341207629332335,0.739217283,44673.11588
Belgium,2013,0.2651479528272169,0.459242193,46744.66254
Belgium,2014,0.2705790779424499,1.578533143,47700.54036
Belgium,2015,0.23256665900557713,2.041459009,40991.80814
Belgium,2016,0.23818016367701417,1.266686409,41984.10303
Belgium,2017,0.2501148108482559,1.619580278,44089.31009
Belgium,2018,0.2695564748837862,1.819203664,47519.5531
Belgium,2019,0.264301349710196,2.149559681,46591.49161
Belgium,2020,0.25608648177636295,-5.65965987,45159.34822
Bosnia and Herzegovina,2010,0.026521174762031818,0.86566926,4635.510195
Bosnia and Herzegovina,2011,0.02911242802395415,0.959511247,5092.554723
Bosnia and Herzegovina,2012,0.02730199594307773,-0.821836474,4777.066914
Bosnia and Herzegovina,2013,0.029340337037530077,2.349856663,5129.663534
Bosnia and Herzegovina,2014,0.030462501052013244,1.153851092,5330.355075
Bosnia and Herzegovina,2015,0.02708305896610854,3.089164152,4729.689959
Bosnia and Herzegovina,2016,0.02858717398846867,3.149806916,4994.971551
Bosnia and Herzegovina,2017,0.030850260251319872,3.171434875,5394.268944
Bosnia and Herzegovina,2018,0.03468880003544489,3.740071092,6070.349081
Bosnia and Herzegovina,2019,0.03495730748656331,2.831002603,6119.762345
Bosnia and Herzegovina,2020,0.03465412509147698,-3.196950134,6079.738285
Bulgaria,2010,0.03909623774487854,1.541801443,6853.002854
Bulgaria,2011,0.04474856206111022,2.10120575,7849.165283
Bulgaria,2012,0.04237015026349305,0.754930386,7432.478766
Bulgaria,2013,0.04376714801210509,-0.560493966,7681.93462
Bulgaria,2014,0.04503239152903236,0.966869032,7901.785876
Bulgaria,2015,0.04037638104541639,3.428054914,7074.681023
Bulgaria,2016,0.04317547423403361,3.039825276,7569.478815
Bulgaria,2017,0.04768749184026245,2.76217096,8366.293221
Bulgaria,2018,0.05380916199794469,2.684576131,9446.700772
Bulgaria,2019,0.05627765795902618,4.037592082,9879.268533
Bulgaria,2020,0.05730395471232799,-4.387149834,10079.20338
Croatia,2010,0.07994543703151721,-1.250700462,14067.52312
Croatia,2011,0.08386847891387672,-0.085243549,14757.18034
Croatia,2012,0.07615899613401744,-2.275706646,13401.65662
Croatia,2013,0.07865445677578403,-0.363117372,13837.73164
Croatia,2014,0.07822761724033025,-0.345947048,13762.37286
Croatia,2015,0.0678991076704843,2.52568842,11933.37738
Croatia,2016,0.07128010501078783,3.532432232,12527.73986
Croatia,2017,0.07752107138563527,3.41409226,13629.28959
Croatia,2018,0.08657193331189855,2.900009599,15227.5601
Croatia,2019,0.08705650437347903,3.481945603,15311.7669
Croatia,2020,0.08023631333495096,-8.099761252,14134.16268
Cyprus,2010,0.1760768529827034,2.014695707,31023.63833
Cyprus,2011,0.18383575374560313,0.401437941,32396.38574
Cyprus,2012,0.16404192937510786,-3.446822086,28912.15694
Cyprus,2013,0.15729873659060023,-6.553078255,27729.1927
Cyprus,2014,0.1541518623649352,-1.829309109,27163.33297
Cyprus,2015,0.13293838987767245,3.383079712,23408.33668
Cyprus,2016,0.1397639928329581,6.454554466,24605.92083
Cyprus,2017,0.15110707744412863,5.852540355,26608.87509
Cyprus,2018,0.16654892438898772,5.692841724,29334.11093
Cyprus,2019,0.16581816665467283,5.283187396,29206.07672
Cyprus,2020,0.1561744785619715,-5.2289881,27527.84531
Denmark,2010,0.32918426875384904,1.870991147,58041.39844
Denmark,2011,0.3502147578982067,1.336777767,61753.64713
Denmark,2012,0.3318048711790778,0.226499792,58507.50805
Denmark,2013,0.34702223180839975,0.933340972,61191.1937
Denmark,2014,0.3547255043950302,1.619393811,62548.98473
Denmark,2015,0.3020649821021285,2.342591108,53254.85637
Denmark,2016,0.31006201294165847,3.245956985,54663.99837
Denmark,2017,0.3267521414865955,2.821736341,57610.09818
Denmark,2018,0.3493065726247897,1.989537315,61591.92887
Denmark,2019,0.3390158153076393,2.114664208,59775.7351
Denmark,2020,0.34625960443770215,-2.062124959,61063.31643
Estonia,2010,0.0833670588861356,2.444265118,14663.04461
Estonia,2011,0.09930629307523299,7.263084581,17464.92008
Estonia,2012,0.09891108088051463,3.228200494,17404.2008
Estonia,2013,0.10821869955266154,1.458428636,19050.58592
Estonia,2014,0.11494542838345277,3.011366587,20234.11742
Estonia,2015,0.09884174845572788,1.853020046,17395.04062
Estonia,2016,0.10388986825266298,3.155564814,18282.92339
Estonia,2017,0.11584864397850995,5.792044675,20387.28315
Estonia,2018,0.13093025350028414,4.133819798,23052.30126
Estonia,2019,0.13288386133223115,4.096342644,23397.12001
Estonia,2020,0.1306972679301607,-2.951069313,23027.027
Finland,2010,0.2635691670453303,3.185958654,46459.97325
Finland,2011,0.28975402286883084,2.547664838,51081.99767
Finland,2012,0.2705994605301671,-1.397545728,47710.79022
Finland,2013,0.28288753228338814,-0.901696316,49878.04324
Finland,2014,0.28506057518260186,-0.364908157,50260.29986
Finland,2015,0.24270796540235132,0.543659212,42784.69836
Finland,2016,0.2484013320043779,2.811457767,43784.28396
Finland,2017,0.26264849464577233,3.19240963,46297.49635
Finland,2018,0.28340337134197163,1.141947509,49964.49991
Finland,2019,0.27583408187035857,1.220754143,48628.64176
Finland,2020,0.2764424753130031,-2.800135891,48744.98813
France,2010,0.23056236770840574,1.949437623,40638.33525
France,2011,0.24843000017821829,2.192700633,43790.72602
France,2012,0.23188111544826948,0.313134751,40874.70039
France,2013,0.24162166141900152,0.576326675,42592.93539
France,2014,0.24399713050731722,0.956183052,43011.2631
France,2015,0.2078829788461788,1.112912341,36638.18493
France,2016,0.2101449572780185,1.095464404,37037.37419
France,2017,0.2194986438541018,2.291419994,38685.25849
France,2018,0.23585511133250175,1.865066071,41572.48501
France,2019,0.23022275115516036,1.842971814,40578.64429
France,2020,0.22132578521835694,-7.855256037,39030.36037
Georgia,2010,0.018643054162157262,6.249487768,3233.295943
Georgia,2011,0.023125748952770243,7.399999867,4021.743306
Georgia,2012,0.025379906161472586,6.369008306,4421.818242
Georgia,2013,0.026489416166941785,3.621305352,4623.745725
Georgia,2014,0.027153897241290123,4.431924823,4739.188338
Georgia,2015,0.023027460317778196,3.02220738,4014.185944
Georgia,2016,0.02329791795588032,2.90643878,4062.169888
Georgia,2017,0.02499324982090887,4.842603225,4357.000936
Georgia,2018,0.027066162340753302,4.842919885,4722.787783
Georgia,2019,0.026927364118927617,4.982350475,4697.983652
Georgia,2020,0.02433446751661695,-6.760439817,4266.690795
Germany,2010,0.23565463634949477,4.179882499,41531.9342
Germany,2011,0.26462580676858516,3.925192705,46644.77603
Germany,2012,0.24879082131381106,0.418497594,43858.36306
Germany,2013,0.26254710787543095,0.437591303,46285.76407
Germany,2014,0.27205738775868205,2.209543431,47959.99327
Germany,2015,0.2330976160460054,1.491931528,41086.72967
Germany,2016,0.23889175428322007,2.229999868,42107.51727
Germany,2017,0.252695307714187,2.680231114,44542.2952
